BPS,EVT,ACRES
BPS  Hardwood-Conifer,EVT  Developed,17
BPS  Hardwood-Conifer,EVT  Developed,62
BPS  Hardwood-Conifer,EVT  Developed,3
BPS  Hardwood-Conifer,EVT  Developed,0
BPS  Hardwood-Conifer,EVT  Agricultural,2
BPS  Hardwood-Conifer,EVT  Agricultural,38
BPS  Hardwood-Conifer,EVT  Agricultural,13
BPS  Hardwood-Conifer,EVT  Agricultural,8
BPS  Hardwood-Conifer,EVT  Agricultural,343
BPS  Hardwood-Conifer,EVT  Riparian,0
BPS  Hardwood-Conifer,EVT  Riparian,1
BPS  Hardwood-Conifer,EVT  Riparian,3
BPS  Hardwood-Conifer,EVT  Riparian,0
BPS  Hardwood-Conifer,EVT  Riparian,2
BPS  Hardwood-Conifer,EVT  Riparian,13
BPS  Hardwood-Conifer,EVT  Conifer,1
BPS  Hardwood-Conifer,EVT  Hardwood,1
BPS  Hardwood-Conifer,EVT  Conifer,55
BPS  Hardwood-Conifer,EVT  Riparian,1
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,26
BPS  Hardwood-Conifer,EVT  Exotic Tree-Shrub,3
BPS  Hardwood-Conifer,EVT  Riparian,0
BPS  Hardwood-Conifer,EVT  Exotic Herbaceous,11
BPS  Hardwood-Conifer,EVT  Grassland,72
BPS  Hardwood-Conifer,EVT  Shrubland,24
BPS  Hardwood-Conifer,EVT  Conifer,44
BPS  Hardwood-Conifer,EVT  Conifer,0
BPS  Hardwood-Conifer,EVT  Grassland,2
BPS  Hardwood-Conifer,EVT  Conifer,1
BPS  Hardwood-Conifer,EVT  Hardwood,781
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,987
BPS  Hardwood-Conifer,EVT  Hardwood,2651
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,10520
BPS  Hardwood-Conifer,EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,87
BPS  Hardwood-Conifer,EVT  Developed-Low Intensity,679
BPS  Hardwood-Conifer,EVT  Developed-Medium Intensity,303
BPS  Hardwood-Conifer,EVT  Developed-High Intensity,50
BPS  Hardwood-Conifer,EVT  Developed-Roads,2189
BPS  Hardwood-Conifer,EVT  Hardwood,24803
BPS  Hardwood-Conifer,EVT  Hardwood,42
BPS  Hardwood-Conifer,EVT  Conifer,0
