BPS_NAME,EVT_PHYS2,ACRES
Great Basin Xeric Mixed Sagebrush Shrubland,Exotics,1266248.706
Great Basin Xeric Mixed Sagebrush Shrubland,OtherClearing,12561.426
North-Central Interior Beech-Maple Forest,Agricultural,13671573.41
North-Central Interior Beech-Maple Forest,NaturalVeg,2533915.104
North-Central Interior Beech-Maple Forest,Developed,4853112.252
North-Central Interior Beech-Maple Forest,Exotics,384445.392
North-Central Interior Beech-Maple Forest,OtherClearing,8172.042
South-Central Interior Mesophytic Forest,Agricultural,4222015.758
South-Central Interior Mesophytic Forest,NaturalVeg,13893900.86
South-Central Interior Mesophytic Forest,Developed,2682182.688
South-Central Interior Mesophytic Forest,Exotics,561280.158
South-Central Interior Mesophytic Forest,OtherClearing,34395.348
Inter-Mountain Basins Big Sagebrush Shrubland-Upland,Agricultural,710678.166
Inter-Mountain Basins Big Sagebrush Shrubland-Upland,NaturalVeg,17189234.67
Inter-Mountain Basins Big Sagebrush Shrubland-Upland,Developed,250190.67
Inter-Mountain Basins Big Sagebrush Shrubland-Upland,Exotics,2132109.534
Inter-Mountain Basins Big Sagebrush Shrubland-Upland,OtherClearing,31464.948
Central Interior and Appalachian Floodplain Systems,Agricultural,8399463.906
Central Interior and Appalachian Floodplain Systems,NaturalVeg,8206495.734
Central Interior and Appalachian Floodplain Systems,Developed,2821117.17
Central Interior and Appalachian Floodplain Systems,Exotics,799989.876
Central Interior and Appalachian Floodplain Systems,OtherClearing,8767.446
Inter-Mountain Basins Big Sagebrush Shrubland-Wyoming Big Sagebrush,Agricultural,372923.592
Inter-Mountain Basins Big Sagebrush Shrubland-Wyoming Big Sagebrush,NaturalVeg,18987105.44
Inter-Mountain Basins Big Sagebrush Shrubland-Wyoming Big Sagebrush,Developed,159095.856
Inter-Mountain Basins Big Sagebrush Shrubland-Wyoming Big Sagebrush,Exotics,457308.678
Inter-Mountain Basins Big Sagebrush Shrubland-Wyoming Big Sagebrush,OtherClearing,23177.466
Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Agricultural,4531150.98
