GP,VDEP,Percent
Calcareous Loam,95,6.10793107
Calcareous Loam,96,0.634919717
Calcareous Loam,97,0.376661411
Calcareous Loam,98,0.124433461
Calcareous Loam,100,0.266346465
Calcareous Sedimentary,19,4.595243126
Calcareous Sedimentary,21,7.905352903
Calcareous Sedimentary,27,0.00025564
Calcareous Sedimentary,30,0.390228212
Calcareous Sedimentary,31,2.084106967
Calcareous Sedimentary,33,6.063147636
Calcareous Sedimentary,34,0.980511041
Calcareous Sedimentary,38,0.013915683
Calcareous Sedimentary,41,0.00212292
Calcareous Sedimentary,43,13.07594062
Calcareous Sedimentary,44,0.000122262
Calcareous Sedimentary,45,0.037212226
Calcareous Sedimentary,47,0.049716335
Calcareous Sedimentary,48,0.016338702
Calcareous Sedimentary,50,0.141946637
Calcareous Sedimentary,52,0.226907885
Calcareous Sedimentary,53,0.00046682
Calcareous Sedimentary,54,0.051239057
Calcareous Sedimentary,57,0.566508352
Calcareous Sedimentary,58,0.029887598
Calcareous Sedimentary,59,0.633830471
Calcareous Sedimentary,60,0.157818519
Calcareous Sedimentary,61,0.129309152
Calcareous Sedimentary,62,0.636853686
Calcareous Sedimentary,63,0.001289312
Calcareous Sedimentary,65,4.303169386
Calcareous Sedimentary,66,37.05992069
Calcareous Sedimentary,67,0.703920166
Calcareous Sedimentary,70,0.422049778
Calcareous Sedimentary,71,0.235243957
Calcareous Sedimentary,73,0.000144492
Calcareous Sedimentary,74,0.03166596
Calcareous Sedimentary,75,0.005801906
Calcareous Sedimentary,76,0.006335415
Calcareous Sedimentary,79,0.579901641
Calcareous Sedimentary,80,0.005724103
Calcareous Sedimentary,82,6.255710904
Calcareous Sedimentary,83,0.361496549
Calcareous Sedimentary,84,0.60339825
Calcareous Sedimentary,85,1.120768235
Calcareous Sedimentary,86,6.336693067
Calcareous Sedimentary,89,0.264731423
Calcareous Sedimentary,95,3.215211931
Calcareous Sedimentary,96,0.292740626
Calcareous Sedimentary,97,0.031388091
Calcareous Sedimentary,98,0.031299172
Calcareous Sedimentary,100,0.342412502
